Wetland name,Latitude
Aloppkolen,62.64
Annsjon,63.2736
Askoviken,59.4744
Asnen,56.6317
Blaikfjallet,64.6425
Blekinge,56.1236
Dattern,58.3911
Dummemosse,57.7758
Eman,57.1447
Falsterbo,55.4367
Farnebjofarden,60.2172
Fyllean,56.6611
Gammelstadsviken,65.6317
Getapulien,59.662
Getteron,57.1328
Gotlands,57.2717
Gullhog,62.1875
Gustavsmurane,60.6069
Helge,55.9814
Hjalstaviken,59.6681
Hornborgasjon,58.3086
Hovranomradet,60.335
Kallgate,57.6781
Kilsviken,59.0456
Klingavalsan,55.6517
Komosse,57.69
Koppangen,61.3531
Kvismaren,59.1739
Laidaure,67.1339
Lundakrabukten,55.8233
Maanavuoma,68.4631
Mellanljusnan,61.8422
Mellerston,65.2022
Morrumsan,56.1536
Mossatrask,63.8342
Nittalven,59.9039
Nordrealvs,57.7856
Olands,56.7747
Oldflan,63.7978
Oset,59.2844
Osten,58.5625
Ottenby,56.2136
Ovresulan,62.5956
Paivavouma,66.6519
Persöfjärden,65.775
Pirttimysvuoma,68.2675
Rappomyran,66.3733
Sikasvagarna,63.6344
Sjaunja,67.39
Skalderviken,56.2325
Stigfjorden,58.0931
Storemosse,57.2853
Storkolen,61.7828
Svartadalen,59.8778
Svenskahog,59.4303
Svenskundsviken,58.6192
Takern,58.352
Tarnasjon,65.9367
Tavvovouma,68.5114
Tjalmejaure,66.2467
Tonnersjoheden,56.72
Traslovslage,56.9864
Tysoarna,63.2347
Umealvens,63.7367
Vasikkavouma,67.2272
Vastraroxen,58.4839
Vattenan,62.5933
